石川県の出発地域別入り込み客数,　,　
出発地域,集計時期,来場者数
その他,平成17年,1465
その他,平成18年,1496
その他,平成19年,1534
その他,平成20年,2076
その他,平成21年,2409
その他,平成22年,2503
その他,平成23年,2253
その他,平成24年,2257
その他,平成25年,2217
その他,平成26年,2280
関西,平成17年,2786
関西,平成18年,2726
関西,平成19年,2535
関西,平成20年,2513
関西,平成21年,2585
関西,平成22年,2662
関西,平成23年,2521
関西,平成24年,2500
関西,平成25年,2593
関西,平成26年,2521
関東,平成17年,2239
関東,平成18年,2335
関東,平成19年,2065
関東,平成20年,2256
関東,平成21年,2265
関東,平成22年,2427
関東,平成23年,2320
関東,平成24年,2338
関東,平成25年,2426
関東,平成26年,2419
県内,平成17年,9527
県内,平成18年,9667
県内,平成19年,9076
県内,平成20年,9476
県内,平成21年,8726
県内,平成22年,9170
県内,平成23年,9156
県内,平成24年,9391
県内,平成25年,9590
県内,平成26年,9559
中京,平成17年,1899
中京,平成18年,2002
中京,平成19年,1819
中京,平成20年,2026
中京,平成21年,2149
中京,平成22年,2179
中京,平成23年,2128
中京,平成24年,1994
中京,平成25年,1998
中京,平成26年,1963
富山,平成17年,1624
富山,平成18年,1691
富山,平成19年,1611
富山,平成20年,1605
富山,平成21年,1671
富山,平成22年,1679
富山,平成23年,1665
富山,平成24年,1637
富山,平成25年,1808
富山,平成26年,1872
福井,平成17年,857
福井,平成18年,881
福井,平成19年,826
福井,平成20年,814
福井,平成21年,912
福井,平成22年,926
福井,平成23年,942
福井,平成24年,939
福井,平成25年,1000
福井,平成26年,997