"倉敷市の月別観光施設入場者数","　","　"
"施設名称","集計時期","来場者数"
"大原美術館","2014_01","16108"
"大原美術館","2014_02","14909"
"大原美術館","2014_03","25395"
"大原美術館","2014_04","23679"
"大原美術館","2014_05","36202"
"大原美術館","2014_06","19278"
"大原美術館","2014_07","19665"
"大原美術館","2014_08","33354"
"大原美術館","2014_09","23162"
"大原美術館","2014_10","31206"
"大原美術館","2014_11","29437"
"大原美術館","2014_12","11270"
"倉敷民藝館","2014_01","434"
"倉敷民藝館","2014_02","593"
"倉敷民藝館","2014_03","3019"
"倉敷民藝館","2014_04","691"
"倉敷民藝館","2014_05","978"
"倉敷民藝館","2014_06","2662"
"倉敷民藝館","2014_07","734"
"倉敷民藝館","2014_08","1165"
"倉敷民藝館","2014_09","3086"
"倉敷民藝館","2014_10","873"
"倉敷民藝館","2014_11","949"
"倉敷民藝館","2014_12","2708"
"倉敷考古館","2014_01","230"
"倉敷考古館","2014_02","182"
"倉敷考古館","2014_03","193"
"倉敷考古館","2014_04","336"
"倉敷考古館","2014_05","377"
"倉敷考古館","2014_06","245"
"倉敷考古館","2014_07","281"
"倉敷考古館","2014_08","390"
"倉敷考古館","2014_09","299"
"倉敷考古館","2014_10","380"
"倉敷考古館","2014_11","313"
"倉敷考古館","2014_12","255"
"倉紡記念館・アイビー学館","2014_01","1039"
"倉紡記念館・アイビー学館","2014_02","1156"
"倉紡記念館・アイビー学館","2014_03","1684"
"倉紡記念館・アイビー学館","2014_04","1248"
"倉紡記念館・アイビー学館","2014_05","2044"
"倉紡記念館・アイビー学館","2014_06","1363"
"倉紡記念館・アイビー学館","2014_07","1312"
"倉紡記念館・アイビー学館","2014_08","2242"
"倉紡記念館・アイビー学館","2014_09","1607"
"倉紡記念館・アイビー学館","2014_10","1381"
"倉紡記念館・アイビー学館","2014_11","1550"
"倉紡記念館・アイビー学館","2014_12","1535"
"大橋家住宅","2014_01","450"
"大橋家住宅","2014_02","516"
"大橋家住宅","2014_03","1322"
"大橋家住宅","2014_04","1008"
"大橋家住宅","2014_05","1685"
"大橋家住宅","2014_06","1109"
"大橋家住宅","2014_07","979"
"大橋家住宅","2014_08","1406"
"大橋家住宅","2014_09","1481"
"大橋家住宅","2014_10","1208"
"大橋家住宅","2014_11","1204"
"大橋家住宅","2014_12","409"
"日本郷土玩具館","2014_01","326"
"日本郷土玩具館","2014_02","518"
"日本郷土玩具館","2014_03","724"
"日本郷土玩具館","2014_04","784"
"日本郷土玩具館","2014_05","632"
"日本郷土玩具館","2014_06","406"
"日本郷土玩具館","2014_07","380"
"日本郷土玩具館","2014_08","616"
"日本郷土玩具館","2014_09","548"
"日本郷土玩具館","2014_10","640"
"日本郷土玩具館","2014_11","694"
"日本郷土玩具館","2014_12","480"
"市立自然史博物館","2014_01","2269"
"市立自然史博物館","2014_02","4640"
"市立自然史博物館","2014_03","2921"
"市立自然史博物館","2014_04","2391"
"市立自然史博物館","2014_05","3544"
"市立自然史博物館","2014_06","2256"
"市立自然史博物館","2014_07","3834"
"市立自然史博物館","2014_08","7253"
"市立自然史博物館","2014_09","3273"
"市立自然史博物館","2014_10","3242"
"市立自然史博物館","2014_11","9704"
"市立自然史博物館","2014_12","1547"
"倉敷市立美術館","2014_01","11863"
"倉敷市立美術館","2014_02","13448"
"倉敷市立美術館","2014_03","5463"
"倉敷市立美術館","2014_04","3786"
"倉敷市立美術館","2014_05","3977"
"倉敷市立美術館","2014_06","8243"
"倉敷市立美術館","2014_07","9950"
"倉敷市立美術館","2014_08","7050"
"倉敷市立美術館","2014_09","4517"
"倉敷市立美術館","2014_10","4838"
"倉敷市立美術館","2014_11","6522"
"倉敷市立美術館","2014_12","3291"
"いがらしゆみこ美術館","2014_01","1016"
"いがらしゆみこ美術館","2014_02","832"
"いがらしゆみこ美術館","2014_03","1542"
"いがらしゆみこ美術館","2014_04","968"
"いがらしゆみこ美術館","2014_05","1648"
"いがらしゆみこ美術館","2014_06","1044"
"いがらしゆみこ美術館","2014_07","1192"
"いがらしゆみこ美術館","2014_08","2638"
"いがらしゆみこ美術館","2014_09","1310"
"いがらしゆみこ美術館","2014_10","1126"
"いがらしゆみこ美術館","2014_11","1714"
"いがらしゆみこ美術館","2014_12","914"
"加計美術館","2014_01","1630"
"加計美術館","2014_02","1787"
"加計美術館","2014_03","2576"
"加計美術館","2014_04","153"
"加計美術館","2014_05","271"
"加計美術館","2014_06","97"
"加計美術館","2014_07","242"
"加計美術館","2014_08","220"
"加計美術館","2014_09","1804"
"加計美術館","2014_10","422"
"加計美術館","2014_11","2581"
"加計美術館","2014_12","248"
"倉敷市歴史民俗資料館","2014_01","79"
"倉敷市歴史民俗資料館","2014_02","189"
"倉敷市歴史民俗資料館","2014_03","125"
"倉敷市歴史民俗資料館","2014_04","118"
"倉敷市歴史民俗資料館","2014_05","90"
"倉敷市歴史民俗資料館","2014_06","80"
"倉敷市歴史民俗資料館","2014_07","105"
"倉敷市歴史民俗資料館","2014_08","107"
"倉敷市歴史民俗資料館","2014_09","67"
"倉敷市歴史民俗資料館","2014_10","110"
"倉敷市歴史民俗資料館","2014_11","174"
"倉敷市歴史民俗資料館","2014_12","69"
"由加山・蓮台寺","2014_01","1568"
"由加山・蓮台寺","2014_02","1061"
"由加山・蓮台寺","2014_03","780"
"由加山・蓮台寺","2014_04","476"
"由加山・蓮台寺","2014_05","369"
"由加山・蓮台寺","2014_06","445"
"由加山・蓮台寺","2014_07","188"
"由加山・蓮台寺","2014_08","111"
"由加山・蓮台寺","2014_09","251"
"由加山・蓮台寺","2014_10","451"
"由加山・蓮台寺","2014_11","1066"
"由加山・蓮台寺","2014_12","82"
"野崎家旧宅","2014_01","1403"
"野崎家旧宅","2014_02","3949"
"野崎家旧宅","2014_03","6710"
"野崎家旧宅","2014_04","2081"
"野崎家旧宅","2014_05","3420"
"野崎家旧宅","2014_06","2208"
"野崎家旧宅","2014_07","1519"
"野崎家旧宅","2014_08","1474"
"野崎家旧宅","2014_09","1664"
"野崎家旧宅","2014_10","2725"
"野崎家旧宅","2014_11","3700"
"野崎家旧宅","2014_12","1083"
"鷲羽山ビジターセンター","2014_01","1495"
"鷲羽山ビジターセンター","2014_02","1443"
"鷲羽山ビジターセンター","2014_03","3391"
"鷲羽山ビジターセンター","2014_04","2387"
"鷲羽山ビジターセンター","2014_05","2548"
"鷲羽山ビジターセンター","2014_06","1428"
"鷲羽山ビジターセンター","2014_07","1114"
"鷲羽山ビジターセンター","2014_08","1646"
"鷲羽山ビジターセンター","2014_09","2322"
"鷲羽山ビジターセンター","2014_10","1935"
"鷲羽山ビジターセンター","2014_11","1926"
"鷲羽山ビジターセンター","2014_12","1160"
"むかし下津井回船問屋","2014_01","1172"
"むかし下津井回船問屋","2014_02","1816"
"むかし下津井回船問屋","2014_03","1906"
"むかし下津井回船問屋","2014_04","1295"
"むかし下津井回船問屋","2014_05","2178"
"むかし下津井回船問屋","2014_06","1974"
"むかし下津井回船問屋","2014_07","1620"
"むかし下津井回船問屋","2014_08","2201"
"むかし下津井回船問屋","2014_09","2974"
"むかし下津井回船問屋","2014_10","2419"
"むかし下津井回船問屋","2014_11","3176"
"むかし下津井回船問屋","2014_12","1703"
"ベティスミスジーンズミュージアム","2014_01","816"
"ベティスミスジーンズミュージアム","2014_02","1044"
"ベティスミスジーンズミュージアム","2014_03","1661"
"ベティスミスジーンズミュージアム","2014_04","1178"
"ベティスミスジーンズミュージアム","2014_05","2417"
"ベティスミスジーンズミュージアム","2014_06","1208"
"ベティスミスジーンズミュージアム","2014_07","1569"
"ベティスミスジーンズミュージアム","2014_08","2847"
"ベティスミスジーンズミュージアム","2014_09","1384"
"ベティスミスジーンズミュージアム","2014_10","1384"
"ベティスミスジーンズミュージアム","2014_11","1988"
"ベティスミスジーンズミュージアム","2014_12","1163"
"玉島歴史民俗海洋資料館","2014_01","1259"
"玉島歴史民俗海洋資料館","2014_02","1373"
"玉島歴史民俗海洋資料館","2014_03","1819"
"玉島歴史民俗海洋資料館","2014_04","1371"
"玉島歴史民俗海洋資料館","2014_05","1510"
"玉島歴史民俗海洋資料館","2014_06","1234"
"玉島歴史民俗海洋資料館","2014_07","1798"
"玉島歴史民俗海洋資料館","2014_08","1430"
"玉島歴史民俗海洋資料館","2014_09","1213"
"玉島歴史民俗海洋資料館","2014_10","996"
"玉島歴史民俗海洋資料館","2014_11","1290"
"玉島歴史民俗海洋資料館","2014_12","1250"
"旧柚木家住宅","2014_01","302"
"旧柚木家住宅","2014_02","567"
"旧柚木家住宅","2014_03","1161"
"旧柚木家住宅","2014_04","383"
"旧柚木家住宅","2014_05","617"
"旧柚木家住宅","2014_06","597"
"旧柚木家住宅","2014_07","376"
"旧柚木家住宅","2014_08","296"
"旧柚木家住宅","2014_09","255"
"旧柚木家住宅","2014_10","374"
"旧柚木家住宅","2014_11","510"
"旧柚木家住宅","2014_12","203"
"倉敷科学センター宇宙劇場","2014_01","2009"
"倉敷科学センター宇宙劇場","2014_02","2827"
"倉敷科学センター宇宙劇場","2014_03","3627"
"倉敷科学センター宇宙劇場","2014_04","2662"
"倉敷科学センター宇宙劇場","2014_05","4481"
"倉敷科学センター宇宙劇場","2014_06","2943"
"倉敷科学センター宇宙劇場","2014_07","6874"
"倉敷科学センター宇宙劇場","2014_08","16412"
"倉敷科学センター宇宙劇場","2014_09","4202"
"倉敷科学センター宇宙劇場","2014_10","6820"
"倉敷科学センター宇宙劇場","2014_11","3542"
"倉敷科学センター宇宙劇場","2014_12","1597"
"倉敷科学センター展示室","2014_01","2777"
"倉敷科学センター展示室","2014_02","3510"
"倉敷科学センター展示室","2014_03","5989"
"倉敷科学センター展示室","2014_04","4556"
"倉敷科学センター展示室","2014_05","6725"
"倉敷科学センター展示室","2014_06","4279"
"倉敷科学センター展示室","2014_07","11540"
"倉敷科学センター展示室","2014_08","27147"
"倉敷科学センター展示室","2014_09","6093"
"倉敷科学センター展示室","2014_10","9422"
"倉敷科学センター展示室","2014_11","5913"
"倉敷科学センター展示室","2014_12","2878"
"福田歴史民俗資料館","2014_01","150"
"福田歴史民俗資料館","2014_02","9"
"福田歴史民俗資料館","2014_03","32"
"福田歴史民俗資料館","2014_04","13"
"福田歴史民俗資料館","2014_05","21"
"福田歴史民俗資料館","2014_06","10"
"福田歴史民俗資料館","2014_07","21"
"福田歴史民俗資料館","2014_08","19"
"福田歴史民俗資料館","2014_09","11"
"福田歴史民俗資料館","2014_10","21"
"福田歴史民俗資料館","2014_11","23"
"福田歴史民俗資料館","2014_12","14"
"磯崎眠亀記念館","2014_01","341"
"磯崎眠亀記念館","2014_02","109"
"磯崎眠亀記念館","2014_03","107"
"磯崎眠亀記念館","2014_04","165"
"磯崎眠亀記念館","2014_05","171"
"磯崎眠亀記念館","2014_06","202"
"磯崎眠亀記念館","2014_07","155"
"磯崎眠亀記念館","2014_08","118"
"磯崎眠亀記念館","2014_09","156"
"磯崎眠亀記念館","2014_10","272"
"磯崎眠亀記念館","2014_11","1495"
"磯崎眠亀記念館","2014_12","160"
